date,home_team,score,away_team
17-08-2024,Arsenal,2 - 0,Wolves
24-08-2024,Aston Villa,0 - 2,Arsenal
31-08-2024,Arsenal,1 - 1,Brighton
15-09-2024,Tottenham,0 - 1,Arsenal
22-09-2024,Man City,2 - 2,Arsenal
28-09-2024,Arsenal,4 - 2,Leicester
05-10-2024,Arsenal,3 - 1,Southampton
17-08-2024,West Ham,1 - 2,Aston Villa
24-08-2024,Aston Villa,0 - 2,Arsenal
31-08-2024,Leicester,1 - 2,Aston Villa
14-09-2024,Aston Villa,3 - 2,Everton
21-09-2024,Aston Villa,3 - 1,Wolves
29-09-2024,Ipswich,2 - 2,Aston Villa
06-10-2024,Aston Villa,0 - 0,Man United
17-08-2024,Nott'm Forest,1 - 1,Bournemouth
25-08-2024,Bournemouth,1 - 1,Newcastle
31-08-2024,Everton,2 - 3,Bournemouth
14-09-2024,Bournemouth,0 - 1,Chelsea
21-09-2024,Liverpool,3 - 0,Bournemouth
30-09-2024,Bournemouth,3 - 1,Southampton
05-10-2024,Leicester,1 - 0,Bournemouth
18-08-2024,Brentford,2 - 1,Crystal Palace
25-08-2024,Liverpool,2 - 0,Brentford
31-08-2024,Brentford,3 - 1,Southampton
14-09-2024,Man City,2 - 1,Brentford
21-09-2024,Tottenham,3 - 1,Brentford
28-09-2024,Brentford,1 - 1,West Ham
05-10-2024,Brentford,5 - 3,Wolves
17-08-2024,Everton,0 - 3,Brighton
24-08-2024,Brighton,2 - 1,Man United
31-08-2024,Arsenal,1 - 1,Brighton
14-09-2024,Brighton,0 - 0,Ipswich
22-09-2024,Brighton,2 - 2,Nott'm Forest
28-09-2024,Chelsea,4 - 2,Brighton
06-10-2024,Brighton,3 - 2,Tottenham
18-08-2024,Chelsea,0 - 2,Man City
25-08-2024,Wolves,2 - 6,Chelsea
01-09-2024,Chelsea,1 - 1,Crystal Palace
14-09-2024,Bournemouth,0 - 1,Chelsea
21-09-2024,West Ham,0 - 3,Chelsea
28-09-2024,Chelsea,4 - 2,Brighton
06-10-2024,Chelsea,1 - 1,Nott'm Forest
18-08-2024,Brentford,2 - 1,Crystal Palace
24-08-2024,Crystal Palace,0 - 2,West Ham
01-09-2024,Chelsea,1 - 1,Crystal Palace
14-09-2024,Crystal Palace,2 - 2,Leicester
21-09-2024,Crystal Palace,0 - 0,Man United
28-09-2024,Everton,2 - 1,Crystal Palace
05-10-2024,Crystal Palace,0 - 1,Liverpool
17-08-2024,Everton,0 - 3,Brighton
24-08-2024,Tottenham,4 - 0,Everton
31-08-2024,Everton,2 - 3,Bournemouth
14-09-2024,Aston Villa,3 - 2,Everton
21-09-2024,Leicester,1 - 1,Everton
28-09-2024,Everton,2 - 1,Crystal Palace
05-10-2024,Everton,0 - 0,Newcastle
16-08-2024,Man United,1 - 0,Fulham
24-08-2024,Fulham,2 - 1,Leicester
31-08-2024,Ipswich,1 - 1,Fulham
14-09-2024,Fulham,1 - 1,West Ham
21-09-2024,Fulham,3 - 1,Newcastle
28-09-2024,Nott'm Forest,0 - 1,Fulham
05-10-2024,Man City,3 - 2,Fulham
17-08-2024,Ipswich,0 - 2,Liverpool
24-08-2024,Man City,4 - 1,Ipswich
31-08-2024,Ipswich,1 - 1,Fulham
14-09-2024,Brighton,0 - 0,Ipswich
21-09-2024,Southampton,1 - 1,Ipswich
29-09-2024,Ipswich,2 - 2,Aston Villa
05-10-2024,West Ham,4 - 1,Ipswich
19-08-2024,Leicester,1 - 1,Tottenham
24-08-2024,Fulham,2 - 1,Leicester
31-08-2024,Leicester,1 - 2,Aston Villa
14-09-2024,Crystal Palace,2 - 2,Leicester
21-09-2024,Leicester,1 - 1,Everton
28-09-2024,Arsenal,4 - 2,Leicester
05-10-2024,Leicester,1 - 0,Bournemouth
17-08-2024,Ipswich,0 - 2,Liverpool
25-08-2024,Liverpool,2 - 0,Brentford
01-09-2024,Man United,0 - 3,Liverpool
14-09-2024,Liverpool,0 - 1,Nott'm Forest
21-09-2024,Liverpool,3 - 0,Bournemouth
28-09-2024,Wolves,1 - 2,Liverpool
05-10-2024,Crystal Palace,0 - 1,Liverpool
18-08-2024,Chelsea,0 - 2,Man City
24-08-2024,Man City,4 - 1,Ipswich
31-08-2024,West Ham,1 - 3,Man City
14-09-2024,Man City,2 - 1,Brentford
22-09-2024,Man City,2 - 2,Arsenal
28-09-2024,Newcastle,1 - 1,Man City
05-10-2024,Man City,3 - 2,Fulham
16-08-2024,Man United,1 - 0,Fulham
24-08-2024,Brighton,2 - 1,Man United
01-09-2024,Man United,0 - 3,Liverpool
14-09-2024,Southampton,0 - 3,Man United
21-09-2024,Crystal Palace,0 - 0,Man United
29-09-2024,Man United,0 - 3,Tottenham
06-10-2024,Aston Villa,0 - 0,Man United
17-08-2024,Newcastle,1 - 0,Southampton
25-08-2024,Bournemouth,1 - 1,Newcastle
01-09-2024,Newcastle,2 - 1,Tottenham
15-09-2024,Wolves,1 - 2,Newcastle
21-09-2024,Fulham,3 - 1,Newcastle
28-09-2024,Newcastle,1 - 1,Man City
05-10-2024,Everton,0 - 0,Newcastle
17-08-2024,Nott'm Forest,1 - 1,Bournemouth
24-08-2024,Southampton,0 - 1,Nott'm Forest
31-08-2024,Nott'm Forest,1 - 1,Wolves
14-09-2024,Liverpool,0 - 1,Nott'm Forest
22-09-2024,Brighton,2 - 2,Nott'm Forest
28-09-2024,Nott'm Forest,0 - 1,Fulham
06-10-2024,Chelsea,1 - 1,Nott'm Forest
17-08-2024,Newcastle,1 - 0,Southampton
24-08-2024,Southampton,0 - 1,Nott'm Forest
31-08-2024,Brentford,3 - 1,Southampton
14-09-2024,Southampton,0 - 3,Man United
21-09-2024,Southampton,1 - 1,Ipswich
30-09-2024,Bournemouth,3 - 1,Southampton
05-10-2024,Arsenal,3 - 1,Southampton
19-08-2024,Leicester,1 - 1,Tottenham
24-08-2024,Tottenham,4 - 0,Everton
01-09-2024,Newcastle,2 - 1,Tottenham
15-09-2024,Tottenham,0 - 1,Arsenal
21-09-2024,Tottenham,3 - 1,Brentford
29-09-2024,Man United,0 - 3,Tottenham
06-10-2024,Brighton,3 - 2,Tottenham
17-08-2024,West Ham,1 - 2,Aston Villa
24-08-2024,Crystal Palace,0 - 2,West Ham
31-08-2024,West Ham,1 - 3,Man City
14-09-2024,Fulham,1 - 1,West Ham
21-09-2024,West Ham,0 - 3,Chelsea
28-09-2024,Brentford,1 - 1,West Ham
05-10-2024,West Ham,4 - 1,Ipswich
17-08-2024,Arsenal,2 - 0,Wolves
25-08-2024,Wolves,2 - 6,Chelsea
31-08-2024,Nott'm Forest,1 - 1,Wolves
15-09-2024,Wolves,1 - 2,Newcastle
21-09-2024,Aston Villa,3 - 1,Wolves
28-09-2024,Wolves,1 - 2,Liverpool
05-10-2024,Brentford,5 - 3,Wolves
